Date,Time Period,Geography,Indicator,Value,Unit,Series Code
2021-12-31,2021Q4,Germany,Stage 2 loans ratio,8.97,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Italy,Loan-to-deposit ratio,92.63,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Italy,Total assets,2749.2796,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2021-12-31,2021Q4,Italy,Return on equity (RoE),5.07,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Italy,Cost of risk,0.64,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Italy,Net interest margin,1.16,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Italy,Liquidity coverage ratio,192.44,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Italy,CET1 (Common equity Tier 1) ratio,15.31,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Italy,Non-performing loans ratio (excl. cash balances),3.94,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Italy,Stage 2 loans ratio,14.13,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,SSM,Loan-to-deposit ratio,104.49,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,SSM,Total assets,26458.1572,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2022-03-31,2022Q1,SSM,Return on equity (RoE),6.04,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,SSM,Cost of risk,0.56,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,SSM,Net interest margin,1.20,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,SSM,Liquidity coverage ratio,167.39,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,SSM,CET1 (Common equity Tier 1) ratio,14.99,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,SSM,Non-performing loans ratio (excl. cash balances),2.51,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,SSM,Stage 2 loans ratio,9.28,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Germany,Loan-to-deposit ratio,122.67,Percent,SUP.Q.DE.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Germany,Total assets,4776.9056,EUR billions,SUP.Q.DE.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2022-03-31,2022Q1,Germany,Return on equity (RoE),4.17,Percent,SUP.Q.DE.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Germany,Cost of risk,0.31,Percent,SUP.Q.DE.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Germany,Net interest margin,0.84,Percent,SUP.Q.DE.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Germany,Liquidity coverage ratio,154.92,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Germany,CET1 (Common equity Tier 1) ratio,15.32,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Germany,Non-performing loans ratio (excl. cash balances),1.29,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Germany,Stage 2 loans ratio,9.17,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Italy,Loan-to-deposit ratio,90.81,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Italy,Total assets,2872.0093,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2022-03-31,2022Q1,Italy,Return on equity (RoE),5.79,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Italy,Cost of risk,0.66,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Italy,Net interest margin,1.16,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Italy,Liquidity coverage ratio,193.73,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Italy,CET1 (Common equity Tier 1) ratio,14.60,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Italy,Non-performing loans ratio (excl. cash balances),3.77,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2022-03-31,2022Q1,Italy,Stage 2 loans ratio,13.07,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,SSM,Loan-to-deposit ratio,105.33,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,SSM,Total assets,26765.3797,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2022-06-30,2022Q2,SSM,Return on equity (RoE),7.59,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,SSM,Cost of risk,0.52,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,SSM,Net interest margin,1.23,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,SSM,Liquidity coverage ratio,164.31,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,SSM,CET1 (Common equity Tier 1) ratio,14.96,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,SSM,Non-performing loans ratio (excl. cash balances),2.35,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,SSM,Stage 2 loans ratio,9.72,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Germany,Loan-to-deposit ratio,125.27,Percent,SUP.Q.DE.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Germany,Total assets,4976.9688,EUR billions,SUP.Q.DE.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2022-06-30,2022Q2,Germany,Return on equity (RoE),5.37,Percent,SUP.Q.DE.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Germany,Cost of risk,0.29,Percent,SUP.Q.DE.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Germany,Net interest margin,0.86,Percent,SUP.Q.DE.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Germany,Liquidity coverage ratio,149.10,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Germany,CET1 (Common equity Tier 1) ratio,15.14,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Germany,Non-performing loans ratio (excl. cash balances),1.25,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Germany,Stage 2 loans ratio,10.51,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Italy,Loan-to-deposit ratio,92.31,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Italy,Total assets,2848.2922,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2022-06-30,2022Q2,Italy,Return on equity (RoE),9.07,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Italy,Cost of risk,0.69,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Italy,Net interest margin,1.22,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Italy,Liquidity coverage ratio,181.23,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Italy,CET1 (Common equity Tier 1) ratio,14.90,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Italy,Non-performing loans ratio (excl. cash balances),3.20,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2022-06-30,2022Q2,Italy,Stage 2 loans ratio,13.59,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,SSM,Loan-to-deposit ratio,104.75,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,SSM,Total assets,27770.9654,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2022-09-30,2022Q3,SSM,Return on equity (RoE),7.55,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,SSM,Cost of risk,0.48,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,SSM,Net interest margin,1.23,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,SSM,Liquidity coverage ratio,161.98,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,SSM,CET1 (Common equity Tier 1) ratio,14.74,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,SSM,Non-performing loans ratio (excl. cash balances),2.30,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,SSM,Stage 2 loans ratio,9.83,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Germany,Loan-to-deposit ratio,121.00,Percent,SUP.Q.DE.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Germany,Total assets,5315.8926,EUR billions,SUP.Q.DE.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2022-09-30,2022Q3,Germany,Return on equity (RoE),5.19,Percent,SUP.Q.DE.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Germany,Cost of risk,0.24,Percent,SUP.Q.DE.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Germany,Net interest margin,0.86,Percent,SUP.Q.DE.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Germany,Liquidity coverage ratio,147.82,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Germany,CET1 (Common equity Tier 1) ratio,14.87,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Germany,Non-performing loans ratio (excl. cash balances),1.27,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Germany,Stage 2 loans ratio,10.53,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Italy,Loan-to-deposit ratio,92.35,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Italy,Total assets,2833.7019,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2022-09-30,2022Q3,Italy,Return on equity (RoE),8.95,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Italy,Cost of risk,0.56,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Italy,Net interest margin,1.28,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Italy,Liquidity coverage ratio,176.29,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Italy,CET1 (Common equity Tier 1) ratio,14.70,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Italy,Non-performing loans ratio (excl. cash balances),3.15,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2022-09-30,2022Q3,Italy,Stage 2 loans ratio,13.08,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,SSM,Loan-to-deposit ratio,103.52,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,SSM,Total assets,25822.3589,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2022-12-31,2022Q4,SSM,Return on equity (RoE),7.68,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,SSM,Cost of risk,0.47,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,SSM,Net interest margin,1.36,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,SSM,Liquidity coverage ratio,161.32,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,SSM,CET1 (Common equity Tier 1) ratio,15.39,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,SSM,Non-performing loans ratio (excl. cash balances),2.27,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,SSM,Stage 2 loans ratio,9.62,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Germany,Loan-to-deposit ratio,120.92,Percent,SUP.Q.DE.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Germany,Total assets,4721.6177,EUR billions,SUP.Q.DE.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2022-12-31,2022Q4,Germany,Return on equity (RoE),5.72,Percent,SUP.Q.DE.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Germany,Cost of risk,0.27,Percent,SUP.Q.DE.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Germany,Net interest margin,1.00,Percent,SUP.Q.DE.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Germany,Liquidity coverage ratio,153.46,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Germany,CET1 (Common equity Tier 1) ratio,15.87,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Germany,Non-performing loans ratio (excl. cash balances),1.28,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Germany,Stage 2 loans ratio,9.75,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Italy,Loan-to-deposit ratio,89.96,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Italy,Total assets,2668.2504,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2022-12-31,2022Q4,Italy,Return on equity (RoE),9.16,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Italy,Cost of risk,0.56,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Italy,Net interest margin,1.48,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Italy,Liquidity coverage ratio,185.24,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Italy,CET1 (Common equity Tier 1) ratio,15.70,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Italy,Non-performing loans ratio (excl. cash balances),2.93,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2022-12-31,2022Q4,Italy,Stage 2 loans ratio,12.20,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,SSM,Loan-to-deposit ratio,105.04,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,SSM,Total assets,26403.9093,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2023-03-31,2023Q1,SSM,Return on equity (RoE),9.57,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,SSM,Cost of risk,0.46,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,SSM,Net interest margin,1.48,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,SSM,Liquidity coverage ratio,161.25,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,SSM,CET1 (Common equity Tier 1) ratio,15.53,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,SSM,Non-performing loans ratio (excl. cash balances),2.24,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,SSM,Stage 2 loans ratio,9.31,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Germany,Loan-to-deposit ratio,122.57,Percent,SUP.Q.DE.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Germany,Total assets,4883.0399,EUR billions,SUP.Q.DE.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2023-03-31,2023Q1,Germany,Return on equity (RoE),6.45,Percent,SUP.Q.DE.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Germany,Cost of risk,0.37,Percent,SUP.Q.DE.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Germany,Net interest margin,1.07,Percent,SUP.Q.DE.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Germany,Liquidity coverage ratio,147.79,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Germany,CET1 (Common equity Tier 1) ratio,16.02,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Germany,Non-performing loans ratio (excl. cash balances),1.28,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Germany,Stage 2 loans ratio,9.50,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Italy,Loan-to-deposit ratio,92.88,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Italy,Total assets,2693.2741,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2023-03-31,2023Q1,Italy,Return on equity (RoE),13.13,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Italy,Cost of risk,0.34,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Italy,Net interest margin,1.86,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Italy,Liquidity coverage ratio,186.80,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Italy,CET1 (Common equity Tier 1) ratio,15.44,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Italy,Non-performing loans ratio (excl. cash balances),2.91,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2023-03-31,2023Q1,Italy,Stage 2 loans ratio,11.35,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,SSM,Loan-to-deposit ratio,105.09,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,SSM,Total assets,26338.2176,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2023-06-30,2023Q2,SSM,Return on equity (RoE),10.04,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,SSM,Cost of risk,0.45,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,SSM,Net interest margin,1.53,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,SSM,Liquidity coverage ratio,157.96,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,SSM,CET1 (Common equity Tier 1) ratio,15.71,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,SSM,Non-performing loans ratio (excl. cash balances),2.26,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,SSM,Stage 2 loans ratio,9.19,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Germany,Loan-to-deposit ratio,124.03,Percent,SUP.Q.DE.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Germany,Total assets,4892.7326,EUR billions,SUP.Q.DE.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2023-06-30,2023Q2,Germany,Return on equity (RoE),6.60,Percent,SUP.Q.DE.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Germany,Cost of risk,0.33,Percent,SUP.Q.DE.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Germany,Net interest margin,1.13,Percent,SUP.Q.DE.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Germany,Liquidity coverage ratio,145.57,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Germany,CET1 (Common equity Tier 1) ratio,16.38,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Germany,Non-performing loans ratio (excl. cash balances),1.38,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Germany,Stage 2 loans ratio,10.08,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Italy,Loan-to-deposit ratio,92.81,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Italy,Total assets,2617.5425,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2023-06-30,2023Q2,Italy,Return on equity (RoE),13.73,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Italy,Cost of risk,0.34,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Italy,Net interest margin,2.02,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Italy,Liquidity coverage ratio,166.43,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Italy,CET1 (Common equity Tier 1) ratio,15.95,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Italy,Non-performing loans ratio (excl. cash balances),2.78,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2023-06-30,2023Q2,Italy,Stage 2 loans ratio,11.17,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2023-09-30,2023Q3,SSM,Loan-to-deposit ratio,104.45,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2023-09-30,2023Q3,SSM,Total assets,26779.0223,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2023-09-30,2023Q3,SSM,Return on equity (RoE),10.01,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2023-09-30,2023Q3,SSM,Cost of risk,0.44,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2023-09-30,2023Q3,SSM,Net interest margin,1.56,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2023-09-30,2023Q3,SSM,Liquidity coverage ratio,158.74,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2023-09-30,2023Q3,SSM,CET1 (Common equity Tier 1) ratio,15.61,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2023-09-30,2023Q3,SSM,Non-performing loans ratio (excl. cash balances),2.27,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2023-09-30,2023Q3,SSM,Stage 2 loans ratio,9.29,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
