Date,Time Period,Geography,Indicator,Value,Unit,Series Code
2020-09-30,2020Q3,Germany,Liquidity coverage ratio,162.39,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,Germany,CET1 (Common equity Tier 1) ratio,15.46,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,Germany,Non-performing loans ratio (excl. cash balances),1.53,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,Germany,Stage 2 loans ratio,6.90,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,Italy,Loan-to-deposit ratio,101.02,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,Italy,Total assets,2605.1238,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2020-09-30,2020Q3,Italy,Return on equity (RoE),3.57,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,Italy,Cost of risk,0.61,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,Italy,Net interest margin,1.20,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,Italy,Liquidity coverage ratio,191.96,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,Italy,CET1 (Common equity Tier 1) ratio,15.13,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,Italy,Non-performing loans ratio (excl. cash balances),5.96,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,Italy,Stage 2 loans ratio,11.42,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,SSM,Loan-to-deposit ratio,106.76,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,SSM,Total assets,24175.6162,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2020-12-31,2020Q4,SSM,Return on equity (RoE),1.53,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,SSM,Cost of risk,0.69,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,SSM,Net interest margin,1.28,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,SSM,Liquidity coverage ratio,171.32,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,SSM,CET1 (Common equity Tier 1) ratio,15.65,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,SSM,Non-performing loans ratio (excl. cash balances),3.22,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,SSM,Stage 2 loans ratio,9.27,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Germany,Loan-to-deposit ratio,125.23,Percent,SUP.Q.DE.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Germany,Total assets,4201.3464,EUR billions,SUP.Q.DE.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2020-12-31,2020Q4,Germany,Return on equity (RoE),0.56,Percent,SUP.Q.DE.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Germany,Cost of risk,0.43,Percent,SUP.Q.DE.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Germany,Net interest margin,0.94,Percent,SUP.Q.DE.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Germany,Liquidity coverage ratio,156.67,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Germany,CET1 (Common equity Tier 1) ratio,15.90,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
